Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
299,Vince Williams Jr.,25,UTA,SG,6,0,84,9.8,.470,.643,.143,6.3,18.5,12.3,25.3,1.1,2.3,19.0,18.1,0.0,0.0,0.0,-0.012,-1.8,-0.3,-2.1,0.0,,willivi01
300,Jaden Hardy,23,2TM,SG,53,4,819,11.3,.577,.608,.178,2.0,8.8,5.4,8.3,0.8,0.5,12.0,24.3,-0.2,0.2,0.0,-0.002,-1.2,-3.1,-4.3,-0.5,,hardyja02
300,Jaden Hardy,23,DAL,SG,34,4,428,10.7,.551,.639,.206,2.8,8.8,5.8,9.9,1.0,0.4,11.3,23.4,-0.1,0.2,0.1,.014,-1.9,-1.9,-3.8,-0.2,,hardyja02
300,Jaden Hardy,23,WAS,SG,19,0,391,11.9,.605,.577,.149,1.1,8.9,4.9,6.5,0.6,0.7,12.7,25.4,-0.1,-0.1,-0.2,-0.019,-0.4,-4.3,-4.7,-0.3,,hardyja02
301,Gabe Vincent,29,2TM,PG,48,7,818,6.1,.495,.789,.088,2.0,4.7,3.3,10.2,1.5,0.2,9.8,12.3,0.0,0.4,0.5,.027,-4.2,-0.7,-4.9,-0.6,,vincega01
301,Gabe Vincent,29,LAL,PG,29,7,559,5.5,.512,.792,.085,1.5,4.1,2.8,8.3,1.2,0.2,8.2,11.5,0.1,0.2,0.3,.028,-4.0,-1.0,-4.9,-0.4,,vincega01
301,Gabe Vincent,29,ATL,PG,19,0,259,7.2,.467,.784,.095,2.9,5.9,4.4,14.4,2.0,0.4,12.5,14.2,-0.1,0.2,0.1,.025,-4.6,-0.2,-4.8,-0.2,,vincega01
302,Nikola Jović,22,MIA,PF,46,1,795,9.6,.481,.529,.328,3.2,16.7,9.9,16.5,1.5,1.9,15.6,21.3,-0.9,1.0,0.1,.005,-3.5,0.1,-3.4,-0.3,,jovicni01
303,Paul Reed,26,DET,C,58,9,794,23.3,.631,.121,.332,16.8,19.5,18.2,12.7,3.0,6.5,13.4,20.6,1.8,1.9,3.7,.224,1.9,2.7,4.6,1.3,,reedpa01
304,Buddy Hield,33,2TM,SG,49,3,794,12.0,.555,.655,.121,3.7,12.2,7.9,12.5,2.3,1.0,12.7,19.7,0.0,0.8,0.9,.052,-1.5,-0.1,-1.6,0.1,,hieldbu01
304,Buddy Hield,33,GSW,SG,44,3,768,12.6,.562,.650,.113,3.7,12.1,7.8,12.6,2.3,1.1,11.8,19.7,0.2,0.8,1.0,.063,-1.0,0.0,-1.0,0.2,,hieldbu01
304,Buddy Hield,33,ATL,SG,5,0,26,-3.7,.300,.857,.429,4.1,16.9,10.4,8.9,1.8,0.0,37.5,21.4,-0.2,0.0,-0.1,-0.267,-13.7,-4.2,-17.9,-0.1,,hieldbu01
