Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
401,Jabari Walker,23,PHI,PF,60,6,12.4,1.6,3.5,.448,0.5,1.6,.330,1.1,1.9,.543,.521,0.8,1.1,.750,1.2,1.9,3.1,0.6,0.4,0.2,0.4,1.7,4.5,,walkeja01
402,Gabe Vincent,29,2TM,PG,48,7,17.0,1.5,4.3,.343,1.1,3.4,.329,0.4,0.9,.395,.473,0.4,0.4,.944,0.3,0.7,1.0,1.4,0.5,0.0,0.5,1.5,4.4,,vincega01
402,Gabe Vincent,29,LAL,PG,29,7,19.3,1.6,4.5,.346,1.3,3.6,.369,0.2,0.9,.259,.492,0.3,0.4,.909,0.2,0.7,0.9,1.3,0.5,0.0,0.4,1.8,4.8,,vincega01
402,Gabe Vincent,29,ATL,PG,19,0,13.6,1.3,3.9,.338,0.8,3.1,.259,0.5,0.8,.625,.439,0.4,0.4,1.000,0.4,0.7,1.1,1.6,0.6,0.1,0.6,1.0,3.8,,vincega01
403,DeAndre Jordan,37,NOP,C,12,7,16.6,1.8,2.7,.656,0.0,0.0,,1.8,2.7,.656,.656,0.9,1.4,.647,2.2,4.2,6.3,0.9,0.3,0.8,0.8,1.3,4.4,,jordade01
404,Tyler Kolek,24,NYK,PG,59,1,11.8,1.7,4.0,.432,0.7,1.8,.376,1.0,2.2,.480,.519,0.2,0.3,.667,0.3,1.3,1.6,2.7,0.4,0.1,0.9,1.1,4.4,,kolekty01
405,Liam McNeeley,20,CHO,SF,30,0,12.1,1.3,3.1,.404,0.8,2.0,.400,0.5,1.1,.412,.532,1.1,1.3,.821,0.4,2.0,2.4,0.8,0.2,0.1,0.4,1.2,4.4,,mcneeli01
406,Craig Porter Jr.,25,CLE,PG,59,2,17.6,1.8,4.0,.445,0.5,1.4,.357,1.3,2.6,.493,.508,0.3,0.6,.556,1.3,2.0,3.3,3.2,0.9,0.6,0.9,1.1,4.4,,portecr01
407,Jarred Vanderbilt,26,LAL,PF,59,3,17.6,1.7,3.7,.463,0.5,1.5,.303,1.2,2.2,.575,.525,0.5,0.9,.627,1.3,3.2,4.5,1.2,0.8,0.3,0.8,1.7,4.4,,vandeja01
408,Rayan Rupert,21,2TM,SG,60,5,15.5,1.6,4.1,.393,0.7,1.9,.342,1.0,2.2,.436,.472,0.4,0.6,.735,0.6,1.9,2.5,0.8,0.8,0.1,0.7,1.8,4.3,,ruperra01
408,Rayan Rupert,21,POR,SG,48,0,12.0,1.1,3.1,.361,0.5,1.5,.310,0.6,1.6,.408,.435,0.2,0.3,.643,0.5,1.3,1.8,0.7,0.6,0.0,0.6,1.3,2.9,,ruperra01
408,Rayan Rupert,21,MEM,SG,12,5,29.2,3.7,8.3,.440,1.4,3.6,.395,2.3,4.8,.474,.525,1.3,1.7,.800,1.1,4.3,5.3,1.2,1.4,0.3,1.1,4.1,10.1,,ruperra01
